Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.4078166277706714,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3935198497218835,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.4055854379519133,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.405276505267807,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.398926194132627,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.396386069678556,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3973300344517834,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.4011402211328914,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.409086689997707,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.305164725484474,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3337582835332564,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3299480968521493,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3941548818110046,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.4056026007704077,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.407181597632757,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3912886579519177,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.405911535405721,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3950988446330257,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.331544256532993,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.322945594711769,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3156341559848665,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.1239920973721382,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.112235441826215,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.1446563493746,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.1214519729180665,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.305147562665979,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3506123488546105,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3502862533520097,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3067608851653176,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.339816822851617,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.3509384463084184,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.303894663257438,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.2956220988900213,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.110965379599179,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.322327725441141,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.344262039670639,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.247943283749919,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.257176977660265,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.2517706332495204,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.1675346283773247,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.2851355055711338,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.28544443825524,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.242536937387967,cm
Date + Time:,2025-01-27 18:27:58.982674,Traffic detected:,False,Train distance:,3.317865345803625,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.323546297261487,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.231054890840369,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.2577605193426957,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3747092016288884,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3356118874427234,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3708990149477813,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3826556704937047,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3798066133555267,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.381059510812861,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3629525460829655,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3181571156692367,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3950473561775425,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3181399528507427,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.397913578085422,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.3616996486256308,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.375035299082697,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.4039549526340807,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.394412324088421,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.411901423450104,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.402684890407045,cm
Date + Time:,2025-01-27 18:31:09.394527,Traffic detected:,False,Train distance:,3.234556142886163,cm
